Id,ExcerptPostId,WikiPostId,TagName,Count
1,84634,84633,comments,198
3,133740,133739,code-smell,165
4,4802,4801,programming-languages,1383
5,,,usage,8
7,109610,109609,business,126
8,48555,48554,project-management,917
9,143950,143949,development-process,718
11,107405,107404,performance,819
12,,,time-management,87
13,133802,133801,dynamic-typing,98
14,437694,437693,static-typing,80
16,166744,166743,team,222
23,,,waterfall,49
28,67239,67238,functional-programming,726
36,104484,104483,web-applications,1059
38,48945,48944,hiring,58
40,284751,284750,resources,105
41,170221,170220,math,283
45,,,billing,20
46,121103,121102,freelancing,205
47,167443,167442,pricing,55
49,67236,67235,twitter,22
50,49001,49000,software,306
51,168228,168227,technology,46
52,49448,49447,books,124
53,379094,379093,actor-model,46
54,179324,179323,concurrency,362
55,121323,121322,code-quality,638
56,,,test-coverage,73
57,65197,65196,open-source,909
58,106197,106196,history,338
61,47902,47901,linux,293
62,,,kernel,37
63,155248,155247,resume,33
65,54867,54866,agile,1127
67,,,project-hosting,23
71,54813,54812,productivity,354
76,43376,43375,java,4848
78,47876,47875,python,1925
82,145717,145716,applications,103
83,71900,71899,tools,113
87,232501,232500,telecommuting,11
89,70109,70108,self-improvement,235
91,75373,75372,websites,176
92,150077,150076,organization,128
94,,,technique,27
96,,,social,11
102,143965,143964,language-design,478
104,73291,73290,syntax,191
105,55779,55778,learning,355
109,236429,236428,regular-expressions,89
110,54503,54502,web-development,1535
111,47756,47755,ide,137
114,144317,144316,windows,320
117,,,goto,15
118,134613,134612,programming-practices,1563
119,133804,133803,operating-systems,229
120,,,managed-code,12
121,,,stereotypes,2
126,289073,289072,behavior,25
130,48538,48537,language-agnostic,543
131,,,features,39
132,168232,168231,estimation,259
133,,,indentation,27
136,40776,40775,coding,91
140,135834,135833,computer-science,193
141,2990,2989,php,2039
142,45205,45204,skills,160
144,145713,145712,languages,91
145,,,database-development,108
146,91928,91927,spring,291
147,47894,47893,sql,740
150,,,list,96
151,155213,155212,reference,47
157,47892,47891,unit-testing,1715
158,49179,49178,testing,1428
159,234977,234976,acceptance-testing,97
164,,,software-patent,17
167,,,internet-explorer,25
168,132476,132475,mac,46
169,144322,144321,deployment,315
170,,,physics,15
174,167436,167435,hardware,148
178,133753,133752,paradigms,99
180,167348,167347,macros,44
187,206948,206947,logging,261
188,40766,40765,.net,1422
189,,,text-editor,47
190,94951,94950,ethics,92
191,64504,64503,motivation,33
192,,,testers,7
194,,,sales,20
198,,,architect,12
200,344855,344854,paas,8
201,114189,114188,passwords,105
202,143952,143951,security,881
208,133716,133715,gpl,496
211,179342,179341,apple,50
212,143646,143645,cpu,119
214,67860,67859,iphone,130
215,155236,155235,mobile,298
216,232541,232540,marketing,23
220,,,government,7
224,,,saml,13
226,47888,47887,asp.net,623
229,113571,113570,object-oriented,3277
230,218787,218786,aspect-oriented,40
231,,,adfsv2,2
234,214484,214483,sso,29
236,182190,182189,code-reuse,176
239,135578,135577,uml,609
242,,,iterative-development,22
243,105693,105692,experience,96
246,209193,209192,code-contracts,12
249,6620,6619,c#,4819
250,40771,40770,vb.net,129
251,151669,151668,scheme,59
252,72690,72689,lisp,111
255,,,error-messages,66
258,80646,80645,etymology,24
264,51654,51653,vim,15
266,,,prediction,8
267,275360,275359,culture,32
268,72687,72686,emacs,17
270,179330,179329,google,81
271,,,search-engine,49
274,309677,309676,focus,2
277,,,flowchart,33
279,124397,124396,coding-standards,541
280,99225,99224,interview,289
281,133746,133745,browser,95
282,436879,436878,front-end,159
285,,,spoken-languages,22
287,54806,54805,html,420
288,74471,74470,css,277
294,100104,100103,management,253
300,230273,230272,erp,24
301,,,users,78
304,,,openid,31
311,64486,64485,algorithms,2169
312,261782,261781,complexity,218
315,,,jargon,14
318,135348,135347,project,127
335,210828,210827,stackoverflow,12
336,,,mistakes,15
